,Str1,Str2,Shared_norm,Strain1,Strain2
0,R._anhuiense_S10_GCF_002531655.1,R._anhuiense_S10_GCF_002531655.1,1.0,5,5
22,R._anhuiense_S10_GCF_002531655.1,R._leguminosarum_Vh3_GCF_000373325.1,0.8364365282521067,5,21
7,R._anhuiense_S10_GCF_002531655.1,R._leguminosarum_FRF1H7_GCF_004330625.1,0.8471474882268311,5,25
38,R._anhuiense_S10_GCF_002531655.1,gsC_R._leguminosarum_SM92_GCF_004305315.1,0.8436420043614852,5,26
24,R._anhuiense_S10_GCF_002531655.1,R._ruizarguesonis_UPM1135_GCF_012412905.1,0.8362287962912887,5,77
10,R._anhuiense_S10_GCF_002531655.1,R._leguminosarum_JHI783_GCF_010668665.1,0.8379388257513645,5,81
37,R._anhuiense_S10_GCF_002531655.1,gsC_R._leguminosarum_SM84_GCF_004306055.1,0.8493527554546463,5,103
35,R._anhuiense_S10_GCF_002531655.1,gsC_R._leguminosarum_SM42_GCF_004306325.1,0.8345103213668941,5,152
36,R._anhuiense_S10_GCF_002531655.1,gsC_R._leguminosarum_SM43_GCF_004306775.1,0.8441507638652964,5,165
14,R._anhuiense_S10_GCF_002531655.1,R._leguminosarum_RCAM0626_GCA_014189575.1,0.8288671999764753,5,168
23,R._anhuiense_S10_GCF_002531655.1,R._leguminosarum_WSM448_GCF_004028185.1,0.8574450939201388,5,195
39,R._anhuiense_S10_GCF_002531655.1,gsE_R._leguminosarum_SM149A_GCF_004304155.1,0.8524619465999189,5,206
20,R._anhuiense_S10_GCF_002531655.1,R._leguminosarum_UPM1137_GCF_000427705.1,0.8562702069697181,5,227
19,R._anhuiense_S10_GCF_002531655.1,R._leguminosarum_SEMIA_499_GCF_014198835.1,0.8584429838888816,5,233
18,R._anhuiense_S10_GCF_002531655.1,R._leguminosarum_SEMIA_488_GCF_014206965.1,0.8447586749447571,5,239
5,R._anhuiense_S10_GCF_002531655.1,R._leguminosarum_CZP1G4_GCF_004330845.1,0.8536148464570913,5,240
3,R._anhuiense_S10_GCF_002531655.1,R._leguminosarum_128C53_GCF_000373425.1,0.8442857885241319,5,260
21,R._anhuiense_S10_GCF_002531655.1,R._leguminosarum_UPM791_GCF_002948295.1,0.8460271705481642,5,261
9,R._anhuiense_S10_GCF_002531655.1,R._leguminosarum_JHI1084_GCF_010668425.1,0.8364707032959113,5,262
17,R._anhuiense_S10_GCF_002531655.1,R._leguminosarum_SEMIA_459_GCF_014198415.1,0.8697922509142306,5,265
27,R._anhuiense_S10_GCF_002531655.1,gsA_R._leguminosarum_SM151B_GCF_004304085.1,0.8436545414836565,5,285
28,R._anhuiense_S10_GCF_002531655.1,gsA_R._leguminosarum_SM155C_GCF_004303655.1,0.8330277950069886,5,302
29,R._anhuiense_S10_GCF_002531655.1,gsA_R._leguminosarum_SM163B_GCF_004303255.1,0.8377232793728784,5,309
26,R._anhuiense_S10_GCF_002531655.1,gsA_R._leguminosarum_SM144B_GCF_004303975.1,0.8322874920736378,5,311
12,R._anhuiense_S10_GCF_002531655.1,R._leguminosarum_L144_GCF_012276225.1,0.8326570791610313,5,338
2,R._anhuiense_S10_GCF_002531655.1,R._laguerreae_SS21_GCF_012275795.1,0.8290872289542945,5,344
1,R._anhuiense_S10_GCF_002531655.1,R._laguerreae_SP4_GCF_012275785.1,0.8194837535332857,5,348
13,R._anhuiense_S10_GCF_002531655.1,R._leguminosarum_L563_GCF_012276025.1,0.8287375714417226,5,359
6,R._anhuiense_S10_GCF_002531655.1,R._leguminosarum_FRF1D12_GCF_004330655.1,0.835323464266293,5,365
25,R._anhuiense_S10_GCF_002531655.1,R._sp._PEPV16_PEPV16_GCF_008919455.1,0.8243700297691676,5,370
8,R._anhuiense_S10_GCF_002531655.1,R._leguminosarum_FWPou38_GCF_013391705.1,0.8234432324804788,5,377
31,R._anhuiense_S10_GCF_002531655.1,gsB_R._leguminosarum_SM12_GCF_004306015.1,0.836146723909739,5,386
16,R._anhuiense_S10_GCF_002531655.1,R._leguminosarum_RSP1E6_GCF_004330085.1,0.8263681467383028,5,388
32,R._anhuiense_S10_GCF_002531655.1,gsB_R._leguminosarum_SM13_GCF_004307165.1,0.8324448128714672,5,395
4,R._anhuiense_S10_GCF_002531655.1,R._leguminosarum_CCBAU65264_GCF_012276485.1,0.8309729129614534,5,399
15,R._anhuiense_S10_GCF_002531655.1,R._leguminosarum_RSF2G1_GCF_004330135.1,0.8340670720853586,5,414
33,R._anhuiense_S10_GCF_002531655.1,gsB_R._leguminosarum_SM22_GCF_004306805.1,0.8421591141543865,5,416
34,R._anhuiense_S10_GCF_002531655.1,gsB_R._leguminosarum_SM39_GCF_004306715.1,0.8430076744534645,5,417
30,R._anhuiense_S10_GCF_002531655.1,gsB_R._leguminosarum_SM10_GCF_004322895.1,0.8383066028868202,5,429
11,R._anhuiense_S10_GCF_002531655.1,R._leguminosarum_JHI960_GCA_010668545.1,0.820095694493463,5,438
1132,R._leguminosarum_Vh3_GCF_000373325.1,R._anhuiense_S10_GCF_002531655.1,0.8364365282521067,21,5
1154,R._leguminosarum_Vh3_GCF_000373325.1,R._leguminosarum_Vh3_GCF_000373325.1,1.0,21,21
1139,R._leguminosarum_Vh3_GCF_000373325.1,R._leguminosarum_FRF1H7_GCF_004330625.1,0.899867897787232,21,25
1170,R._leguminosarum_Vh3_GCF_000373325.1,gsC_R._leguminosarum_SM92_GCF_004305315.1,0.9040608824921303,21,26
1156,R._leguminosarum_Vh3_GCF_000373325.1,R._ruizarguesonis_UPM1135_GCF_012412905.1,0.8941833609213177,21,77
1142,R._leguminosarum_Vh3_GCF_000373325.1,R._leguminosarum_JHI783_GCF_010668665.1,0.9001886942430064,21,81
1169,R._leguminosarum_Vh3_GCF_000373325.1,gsC_R._leguminosarum_SM84_GCF_004306055.1,0.9033035821768216,21,103
1167,R._leguminosarum_Vh3_GCF_000373325.1,gsC_R._leguminosarum_SM42_GCF_004306325.1,0.8917491286865776,21,152
1168,R._leguminosarum_Vh3_GCF_000373325.1,gsC_R._leguminosarum_SM43_GCF_004306775.1,0.9021274401214983,21,165
1146,R._leguminosarum_Vh3_GCF_000373325.1,R._leguminosarum_RCAM0626_GCA_014189575.1,0.8789554510801885,21,168
1155,R._leguminosarum_Vh3_GCF_000373325.1,R._leguminosarum_WSM448_GCF_004028185.1,0.863740993916017,21,195
1171,R._leguminosarum_Vh3_GCF_000373325.1,gsE_R._leguminosarum_SM149A_GCF_004304155.1,0.8494779856912233,21,206
1152,R._leguminosarum_Vh3_GCF_000373325.1,R._leguminosarum_UPM1137_GCF_000427705.1,0.8475017400407046,21,227
1151,R._leguminosarum_Vh3_GCF_000373325.1,R._leguminosarum_SEMIA_499_GCF_014198835.1,0.8527088579678799,21,233
1150,R._leguminosarum_Vh3_GCF_000373325.1,R._leguminosarum_SEMIA_488_GCF_014206965.1,0.842081095692798,21,239
1137,R._leguminosarum_Vh3_GCF_000373325.1,R._leguminosarum_CZP1G4_GCF_004330845.1,0.8512519420854678,21,240
1135,R._leguminosarum_Vh3_GCF_000373325.1,R._leguminosarum_128C53_GCF_000373425.1,0.83971125038741,21,260
1153,R._leguminosarum_Vh3_GCF_000373325.1,R._leguminosarum_UPM791_GCF_002948295.1,0.8418510448534906,21,261
1141,R._leguminosarum_Vh3_GCF_000373325.1,R._leguminosarum_JHI1084_GCF_010668425.1,0.8308188492744102,21,262
1149,R._leguminosarum_Vh3_GCF_000373325.1,R._leguminosarum_SEMIA_459_GCF_014198415.1,0.8633225908041635,21,265
1159,R._leguminosarum_Vh3_GCF_000373325.1,gsA_R._leguminosarum_SM151B_GCF_004304085.1,0.8528245517058395,21,285
1160,R._leguminosarum_Vh3_GCF_000373325.1,gsA_R._leguminosarum_SM155C_GCF_004303655.1,0.8466766851454264,21,302
1161,R._leguminosarum_Vh3_GCF_000373325.1,gsA_R._leguminosarum_SM163B_GCF_004303255.1,0.84792879419671,21,309
