R._leguminosarum_Vaf-46_GCF_001652265.1	L
R._leguminosarum_SRDI565_GCF_000371905.1	M
R._ruizarguesonis_UPM1133_GCF_012349115.1	C
gsD_R._leguminosarum_SM51_GCF_004306515.1	D
R._leguminosarum_USDA_2370_GCF_002008365.1	E
R._leguminosarum_WSM1325_GCF_000023185.1	H
R._leguminosarum_CC275e_GCF_000769405.2	A
R._sophorae_CCBAU_03386_GCF_013087515.1	G
R._sp._WYCCWR_11290_WYCCWR_11290_GCF_013426945.1	S
R._sp._JKLM12A2_JKLM12A2_GCF_005862305.2	I
R._leguminosarum_248_GCF_010365265.1	Q
R._laguerreae_FB206_GCF_002008165.1	R
R._leguminosarum_Vaf10_GCF_001679785.1	P
R._laguerreae_JHI2449_GCF_010668165.1	O
R._leguminosarum_TOM_GCF_000372205.1	N
R._leguminosarum_FA23_GCF_000419705.1	K
R._leguminosarum_WSM1455_GCF_000271805.1	J
R._leguminosarum_3841_GCF_000009265.1	B
